Mode,RangeMinimum,RangeMaximum,FSCRatePerMile
TL,1.131,1.19,0.01
TL,1.191,1.25,0.01
TL,1.251,1.31,0.02
TL,1.311,1.37,0.03
TL,1.371,1.43,0.04
TL,1.431,1.49,0.05
TL,1.491,1.55,0.06
TL,1.551,1.61,0.07
TL,1.611,1.67,0.08
TL,1.671,1.73,0.09
TL,1.731,1.79,0.1
TL,1.791,1.85,0.11
TL,1.851,1.91,0.12
TL,1.911,1.97,0.13
TL,1.971,2.03,0.14
TL,2.031,2.09,0.15
TL,2.091,2.15,0.16
TL,2.151,2.21,0.17
TL,2.211,2.27,0.18
TL,2.271,2.33,0.19
TL,2.331,2.39,0.2
TL,2.391,2.45,0.21
TL,2.451,2.51,0.22
TL,2.511,2.57,0.23
TL,2.571,2.63,0.24
TL,2.631,2.69,0.3
TL,2.691,2.75,0.26
TL,2.751,2.81,0.27
TL,2.811,2.87,0.28
TL,2.871,2.93,0.29
TL,2.931,2.99,0.3
TL,2.991,3.05,0.31
TL,3.051,3.11,0.32
TL,3.111,3.17,0.33
TL,3.171,3.23,0.34
TL,3.231,3.29,0.35
TL,3.291,3.35,0.36
TL,3.351,3.41,0.37
TL,3.411,3.47,0.38
TL,3.471,3.53,0.39
TL,3.531,3.59,0.4
TL,3.591,3.65,0.41
TL,3.651,3.71,0.42
TL,3.711,3.77,0.43
TL,3.771,3.83,0.44
TL,3.831,3.89,0.45
TL,3.891,3.95,0.46
TL,3.951,4.01,0.47
TL,4.011,4.07,0.48
TL,4.071,4.13,0.49
TL,4.131,4.19,0.5
TL,4.191,4.25,0.51
TL,4.251,4.31,0.52
TL,4.311,4.37,0.53
TL,4.371,4.43,0.54
TL,4.431,4.49,0.55
TL,4.491,4.55,0.56
TL,4.551,4.61,0.57
TL,4.611,4.67,0.58
TL,4.671,4.73,0.59
TL,4.731,4.79,0.6
TL,4.791,4.85,0.61
TL,4.851,4.91,0.62
TL,4.911,4.97,0.63
TL,4.971,5.03,0.64
TL,5.031,5.09,0.65
TL,5.091,5.15,0.66
TL,5.151,5.21,0.67
TL,5.211,5.27,0.68
TL,5.271,5.33,0.69
TL,5.331,5.39,0.7
TL,5.391,5.45,0.71
TL,5.451,5.51,0.72
TL,5.511,5.57,0.73
TL,5.571,5.63,0.74
TL,5.631,5.69,0.75
TL,5.691,5.75,0.76
TL,5.751,5.81,0.77
TL,5.811,5.87,0.78
TL,5.871,5.93,0.79
TL,5.931,5.99,0.8
TL,5.991,6.05,0.81
TL,6.051,6.11,0.82
TL,6.111,6.17,0.83
TL,6.171,6.23,0.84
TL,6.231,6.29,0.85
TL,6.291,6.35,0.86
TL,6.351,6.41,0.87
TL,6.411,6.47,0.88
TL,6.471,6.53,0.89
TL,6.531,6.59,0.9
TL,6.591,6.65,0.91
TL,6.651,6.71,0.92
TL,6.711,6.77,0.93
TL,6.771,6.83,0.94
TL,6.831,6.89,0.95